"external_id","status","amount","price","title"
"MLB3257236411","active","76","55.9","Filtro de Óleo FIAT UNO ARGO CRONOS Strada PULSE"
"MLB3257223465","active","755","50.9","Tampa do Reservatório de Água do Radiador FIAT Palio"
"MLB3257249833","active","1181","21.9","Tampa do Abastecimento de Óleo do Motor FIAT Fiorino Idea"
"MLB3257261739","active","815","29.15","Filtro de Óleo Refil FIAT Idea Palio Siena Strada Doblo"
"MLB3257249819","paused","0","45.85","Quebra Sol Lado Esquerdo FIAT Palio Siena Strada"
"MLB3257211673","active","820","62.63","Limitador da Porta Dianteira FIAT Uno UNO"
"MLB3257261765","published","0","32.9","Vela de Ignição FIAT Fiorino Palio Uno Punto Strada 500"
"MLB3257223457","active","769","87.34","Friso Superior da Tampa Traseira FIAT Strada"
"MLB3257186455","active","71","51.9","Filtro de Óleo FIAT Strada UNO Palio MOBI"
"MLB3257261719","active","475","11.97","Bucha da Tampa Traseira FIAT Strada Toro"
"MLB3257236311","active","97","30.65","Filtro de Combustível FIAT Fiorino Strada Toro ARGO"
"MLB3257211627","active","213","59.42","Coifa Homocinética FIAT Idea Palio Siena Strada Tipo Uno"
"MLB3257198679","active","414","257.1","Cabo de Abertura do Capô FIAT Punto"
"MLB3257211623","active","242","18.21","Pino de Fixação da Caixa do Filtro de Ar FIAT Punto"
"MLB3257272091","active","138","20.05","Coxim da Caixa do Filtro de Ar FIAT LINEA"
"MLB3257284639","active","258","24.26","Guia Superior da Coluna Porta Corrediça FIAT Doblo"
"MLB3257236313","paused","0","9.59","Presilha de Fixação FIAT Strada"
"MLB3257211589","active","136","21.64","Calota Central da Roda FIAT Fiorino Strada Uno Doblo UNO"
"MLB3257223347","active","1734","37.64","Selo do Bloco do Motor FIAT Idea Uno 500 UNO Bravo Grand"
"MLB3257272113","active","549","23.44","Filtro de Combustível FIAT Doblo Fiorino Idea Palio Siena"
"MLB3257236303","active","120","27.69","Moldura Acabamento do Forro Porta Dianteira Lado Esquerdo"
"MLB3257297413","active","297","102.51","Alavanca Puxador de Abertura do Capô FIAT Punto LINEA"
"MLB3257261589","active","4","58.02","Moldura de Acabamento da Grade Churrasqueira Lado Esquerdo"
"MLB3257272081","active","250","91.26","Anel Sincronizador da Marcha 1 e 2 FIAT Brava Doblo Fiorino"
"MLB3257297339","active","153","52.23","Maçaneta da Porta Traseira Lado Direito FIAT Strada"
"MLB3257272063","published","0","50.9","Limitador da Porta Dianteira FIAT Strada"
"MLB3257236231","active","222","45.83","Roldana de Ajuste do Banco FIAT Palio Punto LINEA Grand"
"MLB3257186323","active","108","41.54","Refletor Olho de Gato Lado Esquerdo FIAT Strada"
"MLB3257223293","active","241","42.73","Vela de Ignição FIAT Palio Punto Strada LINEA Bravo Grand"
"MLB3257272035","active","11","139.9","Vela de Ignição FIAT UNO MOBI ARGO"
"MLB3257236243","paused","0","58.02","Moldura do Acabamento do Parabrisa FIAT Palio Siena"
"MLB3257297321","active","65","9.78","Rebite FIAT Brava Elba Fiorino Idea Marea Palio Premio Uno"
"MLB3257211473","active","13","89.9","Vela de Ignição FIAT Toro"
"MLB3257236253","active","16","77","Filtro de Ar FIAT UNO"
"MLB3257261539","active","271","80.89","Quebra Sol Lado Direito FIAT Palio Siena Strada Uno UNO"
"MLB3257249607","active","137","13.93","Moldura Externa do Retrovisor Lado Direito FIAT Punto"
"MLB3257297259","active","160","269.9","Kit Revisão FIAT Palio Siena Strada L'AQUILA PALIO"
"MLB3257284471","active","132","66.66","Palhetas do Limpador de Parabrisa FIAT Palio Strada"
"MLB3257236151","active","110","230","Reparo da Bomba de Combustível FIAT Doblo Fiorino Idea Uno"
"MLB3257223217","active","156","29.83","Filtro de Óleo Refil FIAT Idea Siena"
"MLB3257236229","active","82","138.57","Filtro de Combustível Fiat"
"MLB3257186251","active","151","60.96","Manopla de Regulagem do Banco FIAT Uno UNO"
"MLB3257284451","active","144","408.35","Luz de Freio FIAT Doblo"
"MLB3257297265","active","203","27.69","Moldura de Proteção da Caçamba FIAT Strada"
"MLB3257236107","active","95","30.44","Junta Suporte do Filtro de Óleo FIAT Doblo Punto LINEA"
"MLB3257249469","paused","0","8.69","Abraçadeira FIAT Palio Strada Uno"
"MLB3257261439","active","75","27.22","Tampa Capa da Correia FIAT Palio Siena Strada"
"MLB3257249507","active","112","13.57","Moldura Acabamento do Forro Porta Dianteira Lado Direito"
"MLB3257261463","active","154","61.95","Manopla de Regulagem do Banco Dianteiro Lado Esquerdo"
"MLB3257211329","active","39","69.9","Filtro de Ar Mopar"
"MLB3257223127","active","104","28.7","Moldura Inferior do Retrovisor Lado Esquerdo FIAT Punto"
"MLB3257186253","paused","0","320.59","Virabrequim FIAT Uno UNO"
"MLB3257211351","active","87","71.49","Alça do Teto FIAT Fiorino Palio Siena Strada Uno UNO Grand"
"MLB3257186195","active","175","27.69","Moldura de Proteção da Caçamba FIAT Strada"
"MLB3257223111","active","349","12.41","Selo do Bloco do Motor FIAT Fiorino Idea Palio Uno Doblo"
"MLB3257261403","paused","0","49","Filtro de Óleo FIAT UNO MOBI ARGO"
"MLB3257297127","active","80","31.32","Moldura da Cantoneira Lado Esquerdo FIAT Strada"
"MLB3257261349","paused","0","77.47","Dispositivo de Trava do Porta Luvas FIAT Punto"
"MLB3257284387","published","0","89.9","Moldura da Caçamba FIAT Strada"
"MLB3257249379","active","93","15.51","Moldura Acabamento do Forro Porta Dianteira Lado Esquerdo"
"MLB3257223089","active","2","14.72","Grade Difusor Saída de Ar FIAT Palio"
"MLB3257198421","active","385","56","Manopla de Regulagem do Banco Dianteiro Lado Direito"
"MLB3257271847","active","368","56","Moldura Lateral do Banco Dianteiro Lado Esquerdo FIAT Palio"
"MLB3257271857","active","330","121","Anel Sincronizador da Marcha 3 e 4 FIAT Brava Fiorino Marea"
"MLB3257211253","active","52","47.73","Grade Difusor Saída de Ar FIAT Uno UNO"
"MLB3257198381","active","183","670.87","Farol Dianteiro Lado Esquerdo FIAT Palio Siena"
"MLB3257261293","published","0","13.61","Grampo FIAT Toro"
"MLB3257235929","active","66","58.56","Anel de Vedação do Coletor de Admissão FIAT Fiorino Idea"
"MLB3257186081","active","95","31.32","Cantoneira Superior da Caçamba Lado Direito FIAT Strada"
"MLB3257211233","active","127","301.09","Kit Correia Dentada e Tensor FIAT Idea Palio Siena Strada"
"MLB3257186157","active","93","1113.45","Apoio de Pé Traseiro Lado Esquerdo FIAT Strada"
"MLB3257186077","active","100","49.77","Grade Inferior do Parachoque Dianteiro FIAT Doblo"
"MLB3257261281","active","282","56.29","Bucha da Bandeja Dianteira FIAT Ducato"
"MLB3257186143","active","109","9.44","Parafuso Protetor da Caçamba FIAT Palio Strada Toro"
"MLB3257211181","active","105","189.9","Pastilha de Freio Fiat"
"MLB3257297055","active","73","19.95","Moldura do Puxador da Porta Traseira Lado Direito FIAT UNO"
"MLB3257249375","active","79","195.77","Braço do Limpador de Vidro Traseiro FIAT Punto"
"MLB3257249275","active","25","79.29","Moldura Superior da Caçamba Lado Direito FIAT Strada"
"MLB3257297109","active","69","31.77","Grampo do Absorvedor de Impacto do Parachoque FIAT Brava"
"MLB3257222967","active","111","36.16","Bucha da Caixa de Direção FIAT Elba Fiorino Premio Uno"
"MLB3257297037","active","98","16.14","Parafuso FIAT Brava Elba Fiorino Marea Palio Premio Strada"
"MLB3257198339","active","13","123.19","Bomba de Água FIAT Fiorino Palio Strada UNO Grand MOBI"
"MLB3257211149","active","59","102.74","Grade Difusor Saída de Ar FIAT Palio"
"MLB3257249325","active","79","7.92","Selo do Bloco do Motor FIAT Doblo Fiorino Palio Siena Uno"
"MLB3257211161","active","89","40.61","Guia Suporte do Parachoque Traseiro Lado Esquerdo"
"MLB3257284247","active","139","26.22","Vela de Ignição FIAT Idea Palio Siena Stilo Strada Doblo"
"MLB3257235899","active","134","237","Cárter de Óleo do Motor FIAT Fiorino Strada 500"
"MLB3257249255","active","81","13.18","Grade Difusor Saída de Ar Lado Esquerdo FIAT Fiorino"
"MLB3257222927","active","142","563.06","Farol Dianteiro Lado Direito FIAT Palio Siena Strada"
"MLB3257186041","active","56","20.6","Moldura Acabamento do Forro Porta Traseira Lado Esquerdo"
"MLB3257271711","active","3","327.54","Pestana do Parabrisa Lado Direito FIAT Idea"
"MLB3257235811","paused","0","1760.26","Bico Injetor de Combustível Fiat"
"MLB3257296983","active","18","120.29","Grade Inferior do Parachoque Dianteiro FIAT Idea"
"MLB3257211167","active","4","91.79","Moldura Superior da Caçamba Lado Esquerdo FIAT Strada"
"MLB3257284157","active","24","86.94","Junta da Tampa de Válvulas FIAT Palio Punto"
"MLB3257261165","active","46","60.15","Porca FIAT Fiorino Palio Uno Doblo Idea Strada UNO Bravo"
"MLB3257261191","active","88","357.06","Grade Churrasqueira FIAT Palio Siena Strada"
"MLB3257198175","active","17","219.57","Alargador Moldura do Paralama Dianteiro Lado Direito"
"MLB3257222863","paused","0","1436.53","Bico Injetor de Combustível FIAT Toro"
"MLB3257235787","active","45","38.09","Junta do Cabeçote FIAT Fiorino Palio Siena Strada Tipo Uno"
"MLB3257284149","active","19","228.14","Suporte da Placa Traseira FIAT Strada"
"MLB3257235771","active","14","525.64","Lanterna Traseira Lado Direito FIAT Strada"
"MLB3257271617","active","30","35.04","Moldura do Vidro Fixo Lado Esquerdo FIAT Punto"
"MLB3257198233","active","61","883.81","Fechadura do Estepe FIAT Idea"
"MLB3257249173","active","41","81.75","Quebra Sol Lado Esquerdo FIAT Palio Punto Grand MOBI"
"MLB3257261147","active","82","86.6","Tubo de Água do Motor FIAT Doblo Fiorino Idea Palio Siena"
"MLB3257235675","active","59","33.78","Presilha do Tampão Bagagito FIAT Stilo"
"MLB3257261189","active","19","327.54","Pestana do Parabrisa Lado Esquerdo FIAT Idea"
"MLB3257198137","active","74","325.34","Kit Correia Dentada e Tensor FIAT Palio Siena Uno UNO"
"MLB3257284111","active","48","127.56","Junta da Tampa de Válvulas FIAT UNO MOBI ARGO"
"MLB3257284121","active","60","7.61","Porca FIAT Brava Coupe Doblo Ducato Fiorino Idea Palio Tipo"
"MLB3257284071","active","9","265.46","Vela Aquecedora FIAT Toro"
"MLB3257222727","active","53","208.11","Pastilha de Freio Fiat"
"MLB3257271655","active","7","290.26","Tubo da Bomba de Água FIAT Ducato"
"MLB3257185851","active","251","36.9","Bucha da Barra Estabilizadora Dianteira FIAT Doblo Fiorino"
"MLB3257249145","active","27","14.4","Moldura do Puxador da Porta Lado Direito FIAT Uno UNO"
"MLB3257271555","active","10","411.7","Válvula Termostática FIAT Palio Siena Strada Doblo Idea"
"MLB3257261043","active","93","40.45","Lâmpada do Farol Dianteiro FIAT Grand Toro ARGO CRONOS"
"MLB3257261007","active","22","34.68","Junta da Tampa de Válvulas FIAT LINEA Idea Bravo Doblo"
"MLB3257249049","active","24","161.36","Pistão FIAT Palio Uno UNO MOBI"
"MLB3257296919","active","42","52.8","Etiqueta Adesiva do Óleo FIAT Doblo Fiorino Idea Palio Uno"
"MLB3257198073","active","18","117.07","Reservatório de Água do Radiador FIAT Palio Grand"
"MLB3257249031","active","23","18.58","Mola do Câmbio FIAT Brava Doblo Elba Fiorino Idea Marea"
"MLB3257222689","paused","0","12.86","Grampo do Forro da Porta FIAT Palio Siena Strada LINEA Toro"
"MLB3257185825","active","20","16.57","Parafuso da Biela FIAT Ducato"
"MLB3257283997","active","39","12.56","Parafuso FIAT Ducato Elba Fiorino Palio Premio Siena Strada"
"MLB3257260957","paused","0","11.28","Rebite FIAT Brava Doblo Ducato Fiorino Idea Marea Palio Uno"
"MLB3257185779","active","8","48.28","Grade Difusor de Ar FIAT Uno UNO"
"MLB3257260991","active","23","100.62","Antena do Teto FIAT Brava Doblo Ducato Fiorino Idea Marea"
"MLB3257296841","active","58","41.55","Refletor Olho de Gato Parachoque Traseiro Lado Direito"
"MLB3257248983","paused","0","494.9","Pastilha de Freio Dianteiro FIAT Toro"
"MLB3257210929","active","80","18.02","Anel de Vedação FIAT Brava Coupe Doblo Fiorino Idea Marea"
"MLB3257271475","active","9","64.19","Tampa do Bloco da Saída de Água FIAT Doblo"
"MLB3257222631","active","1","130.9","Moldura Superior da Caçamba FIAT Strada Últimas Unidades"
"MLB3257260917","active","49","19.26","Tampa Capa da Correia Dentada FIAT Palio Uno Punto UNO MOBI"
"MLB3257260907","active","5","62.72","Parafuso do Cabeçote FIAT FREEMONT Toro"
"MLB3257296803","active","24","73.84","Filtro de Cabine Ar Condicionado FIAT Fiorino Palio Uno UNO"
"MLB3257283909","active","33","87.83","Filtro de Óleo Refil FIAT 500"
"MLB3257185745","active","61","31.86","Tampa Capa da Correia Dentada FIAT Siena"
"MLB3257197989","active","15","190.01","Mangueira do Radiador FIAT UNO"
"MLB3257283913","active","16","36.31","Vela de Ignição FIAT Doblo Idea Bravo"
"MLB3257271459","active","23","1113.45","Apoio de Pé Traseiro Lado Direito FIAT Strada"
"MLB3257235529","active","25","80.72","Moldura Superior da Caçamba Lado Esquerdo FIAT Strada"
"MLB3257222507","active","20","42.89","Moldura do Parachoque Traseiro Lado Esquerdo FIAT Strada"
"MLB3257210781","active","14","119.38","Emblema da Grade Dianteira do Radiador FIAT Strada"
